,User,Score
0,fabpot,28.066666666666666
1,andrew,4.5
2,taylorotwell,4.5
3,egoist,12.666666666666666
4,HugoGiraudel,118.96666666666667
5,ornicar,12.3
6,bebraw,23.033333333333335
7,nelsonic,1.2666666666666666
8,alexcrichton,8.4
9,jonathanong,7.733333333333333
10,mikermcneil,2.3
11,benbalter,14.566666666666666
12,jxnblk,14.666666666666666
13,yegor256,37.333333333333336
14,orta,62.3
15,rstacruz,28.233333333333334
16,GrahamCampbell,114.55172413793103
17,afc163,1.4
18,kamranahmedse,3305.733333333333
19,joshaber,68.16666666666667
20,bkeepers,170.26666666666668
21,kennethreitz,563.2
22,kytrinyx,12.7
23,STRML,0.9
24,atmos,43.63333333333333
25,weierophinney,5.533333333333333
26,agentzh,37.266666666666666
27,steipete,543.8333333333334
28,ai,196.06666666666666
29,mikepenz,338.8666666666667
30,nvie,11.2
31,hadley,68.13333333333334
32,appleboy,1.8666666666666667
33,Rich-Harris,75.66666666666667
34,drnic,10.033333333333333
35,rafaelfranca,0.9333333333333333
36,Ocramius,3.466666666666667
37,mitchellh,155.16666666666666
38,stof,0.9
39,IgorMinar,2.6666666666666665
40,phodal,101.43333333333334
41,jwiegley,25.5
42,geerlingguy,98.5
43,dcramer,62.166666666666664
44,sebastianbergmann,1618.7
45,brunocvcunha,11.1
46,ljharb,1.4
47,jdalton,18.0
48,sevilayha,0.5666666666666667
49,paulmillr,343.3666666666667
50,tmm1,21.333333333333332
51,c9s,5.5
52,zcbenz,74.0
53,holman,295.23333333333335
54,kevinsawicki,5.6
55,yihui,23.9
56,buckyroberts,192.36666666666667
57,kbrsh,6.333333333333333
58,dmalan,0.48148148148148145
59,mhevery,62.4
60,mgechev,268.3666666666667
61,kylef,222.93333333333334
62,chjj,314.9
63,ayende,7.5
64,mcollina,88.26666666666667
65,mdo,485.93333333333334
66,yoshuawuyts,3.4
67,muan,104.23333333333333
68,kentcdodds,146.26666666666668
69,jskeet,22.11111111111111
70,mitsuhiko,20.3
71,steveklabnik,2.1
72,hzoo,21.433333333333334
73,Caged,38.46666666666667
74,dlew,65.46666666666667
75,technoweenie,81.56666666666666
76,gaearon,45.56666666666667
77,soumith,152.73333333333332
78,feross,103.86666666666666
79,michalbe,6.0
80,brianleroux,4.333333333333333
81,willdurand,98.96666666666667
82,alexjlockwood,137.66666666666666
83,matsko,17.37037037037037
84,stefanpenner,1.0333333333333334
85,adamwathan,53.63333333333333
86,Haacked,20.9
87,curran,7.333333333333333
88,rauchg,60.233333333333334
89,ianstormtaylor,11.266666666666667
90,KrauseFx,56.56666666666667
91,tj,435.5
92,jgm,64.8
93,jverkoey,320.5
94,chenglou,3.033333333333333
95,DataTables,201.8
96,SamyPesse,62.5
97,mjhea0,3.933333333333333
98,0x00A,0.0
99,tmcw,159.83333333333334
100,brentvatne,2.7666666666666666
101,carpedm20,200.3
102,benjamn,20.433333333333334
103,notwaldorf,94.86666666666666
104,miyagawa,5.9
105,rnystrom,16.0
106,photonstorm,897.4
107,mattn,29.266666666666666
108,dougwilson,9.1
109,JakeWharton,1307.5
110,yyx990803,9.766666666666667
111,krzysztofzablocki,590.1666666666666
112,eduardolundgren,24.933333333333334
113,vjeux,1.1333333333333333
114,mxcl,368.8333333333333
115,domenic,63.56666666666667
116,alex,4.7
117,mrdoob,1858.0
118,josegonzalez,5.766666666666667
119,fzaninotto,628.6
120,pissang,71.3
121,jamesmontemagno,12.933333333333334
122,paulcbetts,5.333333333333333
123,paulirish,63.36666666666667
124,samdark,5.833333333333333
125,madskristensen,18.233333333333334
126,sokra,1.0333333333333334
127,marijnh,109.2
128,alanhamlett,3.466666666666667
129,wesm,61.93333333333333
130,josevalim,98.08695652173913
131,jennybc,9.066666666666666
132,BurntSushi,40.93333333333333
133,zenorocha,1207.4
134,contra,14.766666666666667
135,jaredhanson,4.366666666666666
136,radar,44.333333333333336
137,bevacqua,32.5
138,xudafeng,48.0
139,j2kun,5.033333333333333
140,dominictarr,5.0
141,avelino,1211.8333333333333
142,vinta,1950.0666666666666
143,developit,15.1
144,ashleygwilliams,8.866666666666667
145,ashfurrow,35.5
146,f,16.033333333333335
147,onevcat,124.13333333333334
148,toddmotto,486.93333333333334
149,gdi2290,0.8
150,EisenbergEffect,6.666666666666667
151,ankane,187.8
152,keijiro,18.5
153,nolimits4web,1337.2857142857142
154,davidfowl,16.633333333333333
155,biezhi,70.66666666666667
156,LeaVerou,527.9666666666667
157,davidtmiller,5.833333333333333
158,odersky,16.11111111111111
159,vhf,2.966666666666667
160,soffes,81.9
161,mxstbr,3.2666666666666666
162,Jinjiang,31.4
